Date,Time,Latitude,Longitude,Pitch (degrees),Roll (degrees),Heading (degrees Magnetic),Heave,Temperature in electronics box (degrees C),"Acceleration x, forward (G)","Acceleration y, starboard (G)","Acceleration z, down (G)",Yaw rate [degrees/s],Control Mode,Thrust (% Thrust),Thrust difference (% Thrust),Date (MMDDYY),Time (HHMMSS),Temperature (C),Specific Conductance (uS/cm),Salinity (PPT),Pressure (psia),Depth (m),ODO (%Sat),ODO (mg/L),Turbidity (FNU),Wiper Position (V),Image ret
20250609,173859,25.912777,-80.13774,-0.9,-0.3,172.7,0.0,51.9,-0.02,0.0,-1.0,3.25,[b'Station Ke'],-0.9,-12.6,60925.0,173859.0,30.862,44060.91,28.26,14.76,10.208,35.1,2.24,0.0,0.0,1
20250609,173900,25.912777,-80.13774,-1.2,-0.4,0.0,0.0,51.9,-0.02,0.0,-1.01,2.67,[b'Standby'],0.0,0.0,60925.0,173900.0,31.13,44185.66,28.34,0.0,0.0,94.8,6.03,0.0,0.0,1
20250609,173901,25.912777,-80.13774,-1.1,-0.4,0.0,0.0,51.9,-0.02,0.01,-1.01,2.51,[b'Standby'],0.0,0.0,60925.0,173901.0,31.13,45063.95,28.98,2.95,2.038,94.63,6.0,0.0,0.0,1
20250609,173902,25.912777,-80.13774,-1.2,-0.6,0.0,0.0,51.9,-0.01,0.11,-1.0,7.37,[b'Waypoint'],-0.3,66.0,60925.0,173902.0,31.13,45052.93,28.97,13.27,9.175,94.55,5.99,0.0,0.0,1
20250609,173903,25.912777,-80.13774,-1.0,-0.7,340.7,0.0,51.9,0.03,0.2,-0.78,19.47,[b'Waypoint'],-5.2,75.2,60925.0,173903.0,31.13,45011.52,28.94,14.74,10.193,94.52,5.98,0.0,0.0,1
20250609,173904,25.912777,-80.13774,-0.8,-0.6,340.8,0.0,51.9,0.27,-0.55,-1.23,24.57,[b'Waypoint'],-5.2,75.2,60925.0,173904.0,31.13,44985.65,28.92,14.75,10.198,94.49,5.98,0.0,0.0,1
20250609,173905,25.912777,-80.13775,-0.2,-1.1,341.2,0.0,51.9,0.09,-0.08,-0.85,23.78,[b'Waypoint'],-5.2,75.2,60925.0,173906.0,31.13,41061.55,26.12,14.75,10.239,94.47,5.98,0.0,0.0,1
20250609,173906,25.912779,-80.13775,-0.5,-0.3,341.3,0.0,51.9,-0.09,0.2,-1.01,21.56,[b'Waypoint'],-6.3,62.6,60925.0,173907.0,31.129,44610.37,28.65,14.75,10.204,94.49,6.02,0.0,0.0,1
20250609,173908,25.91278,-80.13775,-1.4,0.2,341.6,0.0,51.9,-0.02,-0.07,-0.89,11.1,[b'Waypoint'],-2.4,33.7,60925.0,173908.0,31.129,44822.48,28.8,14.75,10.198,94.5,5.99,0.0,0.0,1
20250609,173909,25.912783,-80.13775,-0.8,-0.0,341.8,0.0,51.9,0.01,0.04,-1.0,8.87,[b'Waypoint'],6.0,20.7,60925.0,173909.0,31.129,44981.56,28.91,14.75,10.199,94.55,6.0,0.0,0.0,1
